image_id,label,isNight,split,class_name,detector_label,source
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/e7674f0b2aa3f47c1245d2bbfd29849b20cbbfddresized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/fbb07faf52c17769e6ae449b9f87e8a9323fbe5dresized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/e4fd1fccfd91ad95b6e2ae8b2262dc5b290abde1resized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/ea329c79d5ea4004c6817feea5f4606bc4e70f20resized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/e1c0ee7b587fe9d4ea9d2dac124ce7a20ad5a770resized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/f16ba67351093ab147b58ea37ddef0cf28a0d544resized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/e2b91a633eddd967c197bdedf06693974dd8aa0bresized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/c52cc55a3bb277caa8dd0bcbacf06ea97c9ba15bresized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/e7f18bf4efcc846aa1d34ae16e9499bf57419789resized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/fb622a8a94f2bd961e15b79e19e3dd672834ce5fresized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/c101fe429ea4c28a9fa8483bda4c33a3573d4856resized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/da85132b7cd2b670795dabfe6c7f13e9c1aea112resized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/ce8df0df3a4bae58bf57d3a99543a5f0808befa2resized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/dede3ba89e39cc42bed98390cd9dcad3dd759794resized_image.png,1,0,test,Adposhel,0,clean
/nfs1/ssl_lab/malevis_adversarial_repro/data/raw/malevis_train_val_300x300/val/Adposhel/df878b79aa5b3562c24f4c007ba57697e61d6e58resized_image.png,1,0,test,Adposhel,0,clean
