image_id,label,isNight,split,class_name
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0b2aa62f87246765437ec4d28d333ebb1b5db20bresized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0b54ece519e9eb2342677545633100a22b121780resized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0bb29e041c1d5d79baefb49a57e06d2bcd3b3071resized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0bf2e6614399c6d579a34c22f5fd0dc314d63806resized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0c30191fccd156e6daf92b94182e882862aac04bresized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0c352fe408ec21e56db2443c9098b19dc49fd83bresized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0d2705d849af841b063d87cd5412175b19b1da6dresized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0e3723bc25a28fd37e5d411d4865e31494d9ed52resized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0ec514b4f4ea8bcd42b44846e15ca66400e8599fresized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0f7da77494a54614fe5ecf9b57e0070d475cad0aresized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/0f8925c5ff7f7ea7445d95833fe1809ec65a0a8bresized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/1077562106104b24fd689ba204fbc4dc281f0e72resized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/10cd54b19f4a4867d80dfb72ec6e4a60b3e8add1resized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/10e9aae715e2b95024b4ffaeb8f4d3739b820c0dresized_image.png,1,0,train,Adposhel
/nfs1/ssl_lab/malevis_adversarial_repro/artifacts/adv_outputs/CNN_pgd/train/Adposhel/1142d50e6ee95694417a4d5ed5a4055478e7ceb3resized_image.png,1,0,train,Adposhel
